lags,train_cross_entropy_mean,train_cross_entropy_std,train_cross_entropy_fold_1,train_cross_entropy_fold_2,train_cross_entropy_fold_3,train_cross_entropy_fold_4,train_cross_entropy_fold_5,train_roc_auc_mean,train_roc_auc_std,train_roc_auc_fold_1,train_roc_auc_fold_2,train_roc_auc_fold_3,train_roc_auc_fold_4,train_roc_auc_fold_5,val_cross_entropy_mean,val_cross_entropy_std,val_cross_entropy_fold_1,val_cross_entropy_fold_2,val_cross_entropy_fold_3,val_cross_entropy_fold_4,val_cross_entropy_fold_5,val_roc_auc_mean,val_roc_auc_std,val_roc_auc_fold_1,val_roc_auc_fold_2,val_roc_auc_fold_3,val_roc_auc_fold_4,val_roc_auc_fold_5,test_cross_entropy_mean,test_cross_entropy_std,test_cross_entropy_fold_1,test_cross_entropy_fold_2,test_cross_entropy_fold_3,test_cross_entropy_fold_4,test_cross_entropy_fold_5,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_fold_1,test_roc_auc_fold_2,test_roc_auc_fold_3,test_roc_auc_fold_4,test_roc_auc_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
200,0.214576444029808,0.085192553979095,0.3245251774787903,0.1462121307849884,0.3131131529808044,0.1445634514093399,0.1444683074951172,0.9651103195744608,0.0266685257213607,0.930479633221654,0.9871745543157624,0.9344921640238546,0.9867727358312935,0.9866325104797392,0.4488958239555359,0.0972683611838871,0.3561920523643493,0.5061898231506348,0.3690390884876251,0.4006782472133636,0.6123799085617065,0.8978289053900259,0.0102543735188822,0.8977079796264856,0.9091680814940576,0.8892190152801358,0.9091666666666668,0.8838827838827839,0.4815998792648315,0.1112594896542413,0.3586235344409942,0.6148484945297241,0.4283664524555206,0.6154600977897644,0.3907008171081543,0.8940406695511051,0.0170128189390135,0.91723259762309,0.8734939759036144,0.891044776119403,0.8787545787545787,0.9096774193548388,0.0,0.0,0,0,0,0,0
225,0.1758968979120254,0.0724386165842058,0.319354236125946,0.125681847333908,0.1573901325464248,0.1384692937135696,0.1385889798402786,0.9763117216621244,0.0216000216259171,0.9336536766002468,0.9915352058484032,0.9809532615228144,0.9875729617774432,0.987843502561714,0.467151927947998,0.0870483423946188,0.3655727505683899,0.5061554312705994,0.4372172057628631,0.4112496674060821,0.6155645847320557,0.8993294511091625,0.0057617665348179,0.8921901528013582,0.9070458404074704,0.9002546689303905,0.90375,0.8934065934065933,0.4778063535690308,0.117647396971425,0.3416480720043182,0.6185247898101807,0.4039824903011322,0.6197114586830139,0.4051649570465088,0.8974661147063097,0.0210576204940749,0.9252971137521222,0.8614457831325301,0.9011194029850746,0.8919413919413919,0.9075268817204302,0.0,0.0,0,0,0,0,0
250,0.1241227498278021,0.054449595049457,0.1568450480699539,0.0153930587694048,0.1513165682554245,0.1486043781042099,0.1484546959400177,0.987737971978122,0.0061912994223617,0.9831599365191324,1.0,0.9845129675003468,0.9855488608548296,0.9854680950163018,0.553192961215973,0.2256080589076904,0.4024814963340759,0.9725197553634644,0.4438609778881073,0.3484373390674591,0.5986652374267578,0.9078037867621908,0.0106480729618109,0.9151103565365024,0.9049235993208828,0.900679117147708,0.9241666666666668,0.8941391941391941,0.5844631612300872,0.2635836030460668,0.4372465908527374,1.0855662822723389,0.460226446390152,0.5977011919021606,0.3415752947330475,0.8910142849883791,0.0222224255519632,0.8913412563667232,0.8589357429718876,0.8835820895522389,0.893040293040293,0.9281720430107528,0.0,0.0,0,0,0,0,0
275,0.1364074379205703,0.0094020082962189,0.1516398340463638,0.1239640563726425,0.1413857340812683,0.132820576429367,0.1322269886732101,0.9887545488512672,0.0025366469394972,0.984702874272615,0.9923902355606856,0.9876103740002774,0.9894558463566184,0.9896134140661388,0.4927597224712371,0.0403959950376323,0.4635283350944519,0.5100165009498596,0.4691582918167114,0.4566169679164886,0.5644785165786743,0.8995772449112858,0.0059687485810132,0.9015280135823428,0.91044142614601,0.8951612903225806,0.89625,0.8945054945054945,0.4722682774066925,0.0836364611254543,0.3688676357269287,0.5674690008163452,0.4010654985904693,0.5711227655410767,0.4528164863586426,0.8977225883898058,0.0170662231546637,0.9244482173174872,0.8714859437751004,0.903358208955224,0.8934065934065935,0.8959139784946237,0.0,0.0,0,0,0,0,0
300,0.1337257236242294,0.0086193416024459,0.1403673589229583,0.1215376108884811,0.1461740583181381,0.1301630288362503,0.1303865611553192,0.988930402096918,0.0024969142214491,0.9865543995767942,0.9925612415031422,0.9857149461421107,0.9901148559593298,0.9897065673032138,0.5223348200321197,0.068582331065653,0.4660575687885284,0.6040806174278259,0.530861496925354,0.4246599674224853,0.586014449596405,0.8947791174586591,0.0092150882774827,0.8977079796264855,0.8947368421052632,0.8773344651952462,0.90375,0.9003663003663004,0.4748288214206695,0.0900748461819382,0.378176748752594,0.5802205801010132,0.4081388115882873,0.587445080280304,0.4201628863811493,0.9000115234229916,0.0150049719116887,0.9210526315789476,0.8744979919678716,0.9029850746268656,0.8974358974358974,0.9040860215053764,0.0,0.0,0,0,0,0,0
325,0.1016620151698589,0.1148509829498316,0.1479260772466659,0.0181759931147098,0.3079449534416199,0.0171778481453657,0.0170852039009332,0.9852003504117542,0.0233910582435801,0.9863780638335392,1.0,0.9396236882252322,1.0,1.0,0.6439306199550628,0.2502233636936962,0.4542899131774902,0.9582386612892152,0.3760594427585602,0.4961050152778625,0.9349600672721864,0.8999424585035791,0.0134853957380776,0.9036502546689305,0.9044991511035654,0.8879456706281834,0.9208333333333334,0.8827838827838829,0.6646007359027862,0.2772786971222487,0.4131135046482086,1.0588635206222534,0.4175516068935394,0.9395139217376708,0.4939611256122589,0.8915539589575692,0.0213383445332775,0.902376910016978,0.8589357429718876,0.8936567164179104,0.8802197802197802,0.9225806451612903,0.0,0.0,0,0,0,0,0
350,0.1377988517284393,0.0097690307027941,0.1445038169622421,0.1208001524209976,0.1497124880552292,0.1370620280504226,0.136915773153305,0.9877659804262948,0.002904019497077,0.9856286369247048,0.9929887563592834,0.9845591974481068,0.9879495386932782,0.9877037727061015,0.5071592032909393,0.0455408360115643,0.4807376265525818,0.5577607154846191,0.4918173551559448,0.4442730844020843,0.5612072348594666,0.8998624274706618,0.0042668617666629,0.8977079796264855,0.899830220713073,0.8934634974533108,0.9020833333333332,0.906227106227106,0.4785783529281616,0.0751609656148765,0.401585042476654,0.5769752860069275,0.4099951088428497,0.560560405254364,0.4437759220600128,0.8968162006286171,0.0130790142806612,0.9044991511035654,0.8714859437751005,0.9007462686567164,0.9084249084249084,0.8989247311827957,0.0,0.0,0,0,0,0,0
375,0.1404637426137924,0.0083481223718477,0.1479719281196594,0.1249607950448989,0.1476242244243621,0.1411268413066864,0.1406349241733551,0.9875200040783302,0.0028958668673079,0.98580497266796,0.9929887563592836,0.9845591974481068,0.9871022406326492,0.9871448532836516,0.5123027622699737,0.0700424517648979,0.4683810472488403,0.5899621248245239,0.5070681571960449,0.4082291424274444,0.5878733396530151,0.8977021803889377,0.0061944072066575,0.898981324278438,0.8972835314091681,0.8862478777589133,0.9041666666666668,0.9018315018315018,0.4957832932472229,0.0752420356928078,0.4425860345363617,0.5856043100357056,0.4510705471038818,0.587512195110321,0.4121433794498443,0.8912933325713942,0.0092623718843836,0.8883701188455009,0.8775100401606426,0.8873134328358209,0.9021978021978022,0.9010752688172043,0.0,0.0,0,0,0,0,0
400,0.165987280011177,0.0614661123179514,0.1391436159610748,0.2886665463447571,0.1402672827243805,0.1310095936059951,0.1308493614196777,0.9819728875679364,0.0136436166214918,0.9883177570093458,0.9547261767346416,0.9876566039480376,0.9895970627000564,0.9895668374476012,0.4712137460708618,0.0584786543064786,0.4809121787548065,0.3814836740493774,0.4704279005527496,0.4582986235618591,0.5649463534355164,0.8988554621665827,0.0019948739282672,0.900679117147708,0.8960101867572156,0.8994057724957555,0.8970833333333333,0.9010989010989012,0.4403997242450714,0.0718435630492422,0.4073731899261474,0.370809942483902,0.3947599232196808,0.5728418827056885,0.4562136828899383,0.898942305876982,0.0081922688134139,0.9061969439728352,0.8840361445783131,0.9067164179104478,0.8992673992673993,0.898494623655914,0.0,0.0,0,0,0,0,0
425,0.1474634230136871,0.0967985303301185,0.3146235644817352,0.0122043937444686,0.1503202021121978,0.1299382150173187,0.1302307397127151,0.9801001352182326,0.0221661568835653,0.9369599717862812,1.0,0.9842355878137858,0.9897382790434944,0.9895668374476012,0.6055848479270936,0.287523363290606,0.3532561063766479,1.1490846872329712,0.5062907338142395,0.3955875039100647,0.6237052083015442,0.8927502736369458,0.0093909310940692,0.8998302207130731,0.8866723259762309,0.8811544991511036,0.9070833333333332,0.889010989010989,0.5932031691074371,0.3027278396937037,0.3514658510684967,1.1701228618621826,0.4289158582687378,0.620349109172821,0.3951621651649475,0.8956910101266302,0.0180721032979998,0.9193548387096776,0.8659638554216867,0.8977611940298507,0.8882783882783882,0.9070967741935484,0.0,0.0,0,0,0,0,0
